"project_id","ENSG00000107625","ENSG00000141644","ENSG00000160058","ENSG00000111361","ENSG00000136682","ENSG00000110696","ENSG00000198060","ENSG00000160785","ENSG00000186001","ENSG00000125779","ENSG00000166170","ENSG00000163374","ENSG00000169180","ENSG00000035928","ENSG00000143971","ENSG00000120709","ENSG00000101654","ENSG00000100461","ENSG00000187866","ENSG00000137764","ENSG00000166716","ENSG00000105879","ENSG00000144848","ENSG00000114416","ENSG00000091542"
"TCGA-THCA",2572,3247,5170,3430,945,8415,2545,1296,1345,1264,2789,1119,4656,2152,1318,764,2639,6316,1981,1668,2256,1011,2249,8339,7525
"TCGA-THCA",3623,4003,9061,2469,972,12353,3090,2635,1462,2184,4171,2113,4704,3741,713,1647,3774,5655,1700,1655,3873,1553,4060,7668,6898
"TCGA-THCA",2488,2847,6720,1726,904,10168,2936,1819,1143,1651,3097,1410,4519,3395,880,1196,3326,4803,1698,1042,2858,1174,3623,6044,5710
"TCGA-THCA",3617,4042,8680,1974,927,12746,4114,2645,1723,2650,5405,2172,6318,5338,1165,2035,5473,5721,2378,1668,4293,2130,4126,8644,9668
"TCGA-THCA",3035,3658,7500,2525,791,10683,3166,2035,1745,1642,5137,1916,3995,3837,1056,1688,4331,6447,1931,1184,4205,1602,3262,8849,5978
"TCGA-THCA",2703,2866,6876,2405,718,9167,2295,2019,1440,1770,4522,1309,4557,2183,486,1297,2226,4728,857,1544,2236,918,3441,5965,6329
"TCGA-THCA",3362,4651,7836,2748,980,13456,4042,2793,1974,2419,5921,2302,6585,5498,1284,2036,4466,6528,3228,1503,5404,2914,3471,9096,8549
"TCGA-THCA",3242,4253,6971,2781,860,11449,3551,2795,1321,1673,5101,2764,5601,5176,925,1258,3324,4995,1600,1335,4886,1501,3830,7602,6786
"TCGA-THCA",2544,3054,5574,2250,723,9941,2760,1774,1172,1460,4037,1557,4559,3460,743,1196,2642,4810,1465,1032,3208,1346,3304,5776,6081
"TCGA-THCA",3217,3429,6075,2235,752,12022,4111,1788,1188,1817,5482,1887,5294,4785,1041,1711,3378,4473,1712,1529,4539,1652,3814,8803,5665
