"project_id","ENSG00000042832","ENSG00000198804","ENSG00000115414","ENSG00000198886","ENSG00000153002","ENSG00000108821","ENSG00000198938","ENSG00000164733","ENSG00000168878","ENSG00000120885","ENSG00000164692","ENSG00000198712","ENSG00000198727","ENSG00000168542","ENSG00000198763","ENSG00000156508","ENSG00000198888","ENSG00000110484","ENSG00000198786","ENSG00000075624"
"TCGA-THCA",2148696,535311,328365,516306,0,10800,299102,386416,3789,724830,16537,229826,302356,9305,197980,396326,132118,0,97814,261081
"TCGA-THCA",2872267,2438625,8714,2162544,0,2045,1085414,920607,73,52410,3938,859709,1031139,3479,506400,249060,686044,0,727058,159554
"TCGA-THCA",5553434,2443914,18406,1804016,1,9211,1109699,1368825,209,7132,13187,721561,818968,13956,914737,224627,477489,0,471870,160692
"TCGA-THCA",2186568,3947542,6970,2322383,0,712,2008385,1478365,41,2041,3264,1291608,1159175,3800,744795,310566,807273,0,755112,122182
"TCGA-THCA",1045888,649531,1473635,360970,0,207093,321199,842674,160374,528412,160890,193062,228810,149177,206322,494162,73735,0,168615,169792
"TCGA-THCA",5290618,770760,13507,598031,1,5114,752789,172025,3,4995,14618,284872,320312,11844,295529,344950,254518,0,145913,186920
"TCGA-THCA",3532928,986865,864852,568211,1,18940,366071,1091087,15133,383945,20931,302218,242431,16182,208439,620698,199769,0,271953,198425
"TCGA-THCA",2232161,584524,589457,314623,0,30384,242746,647681,45951,2112432,26681,184693,182601,22503,102341,643844,62575,0,63275,226324
"TCGA-THCA",11444594,991882,42415,640033,3,13823,307272,387269,326,209360,26957,236736,214854,20554,147393,626937,120901,0,496102,173741
"TCGA-THCA",1095196,733214,158523,408206,0,8245,280256,325856,141837,964475,6596,217034,265623,5146,166416,425187,138556,0,178467,180464
"TCGA-THCA",1083449,217288,1615503,121451,1,25918,103971,457882,31424,383944,6784,73259,77621,7707,53133,691642,44081,0,81572,162185
"TCGA-THCA",6346146,1629912,8878,1341461,0,2278,788359,564530,273,71955,3915,505955,633406,3358,657673,520516,329680,0,545465,195652
"TCGA-THCA",2301841,2139625,6207,1562797,2,2485,1026816,88484,414,62671,4259,583098,776211,3855,584202,273460,619764,1,673580,186504
"TCGA-THCA",2282195,1448746,12489,1088032,0,6234,629035,631272,773,151683,11498,381106,511469,4814,311072,253021,301664,6,573523,194063
"TCGA-THCA",1937650,298572,7699,171500,2,2817,151290,390240,1128,273918,12679,79170,95583,6065,84061,430152,55098,0,74843,282330
"TCGA-THCA",64959,208938,1397826,424786,0,49055,309805,211979,1121549,134535,47168,234561,348048,12481,372698,188042,289226,0,58433,245848
"TCGA-THCA",5865351,1696744,17703,1509748,3,3080,885938,496698,17,245383,13462,560911,782826,10759,500704,283315,447779,0,427499,178845
"TCGA-THCA",2695195,483086,177659,210906,0,3893,161502,789023,3104,1219686,3411,143458,83260,2294,84409,604882,59248,0,91320,118062
